Parameters:
================================================================================================================================
Name                                                                    Shape                           Type            Grad
t_embedder.mlp.0.weight                                                 torch.Size([1536, 256])         torch.float32   True
t_embedder.mlp.0.bias                                                   torch.Size([1536])              torch.float32   True
t_embedder.mlp.2.weight                                                 torch.Size([1536, 1536])        torch.float32   True
t_embedder.mlp.2.bias                                                   torch.Size([1536])              torch.float32   True
adaLN_modulation.1.weight                                               torch.Size([9216, 1536])        torch.float32   True
adaLN_modulation.1.bias                                                 torch.Size([9216])              torch.float32   True
input_layer.weight                                                      torch.Size([1536, 32])          torch.float32   True
input_layer.bias                                                        torch.Size([1536])              torch.float32   True
blocks.0.modulation                                                     torch.Size([9216])              torch.float32   True
blocks.0.norm2.weight                                                   torch.Size([1536])              torch.float32   True
blocks.0.norm2.bias                                                     torch.Size([1536])              torch.float32   True
blocks.0.self_attn.to_qkv.weight                                        torch.Size([4608, 1536])        torch.float32   True
blocks.0.self_attn.to_qkv.bias                                          torch.Size([4608])              torch.float32   True
blocks.0.self_attn.q_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.0.self_attn.k_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.0.self_attn.to_out.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.0.self_attn.to_out.bias                                          torch.Size([1536])              torch.float32   True
blocks.0.cross_attn.to_q.weight                                         torch.Size([1536, 1536])        torch.float32   True
blocks.0.cross_attn.to_q.bias                                           torch.Size([1536])              torch.float32   True
blocks.0.cross_attn.to_kv.weight                                        torch.Size([3072, 1024])        torch.float32   True
blocks.0.cross_attn.to_kv.bias                                          torch.Size([3072])              torch.float32   True
blocks.0.cross_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.0.cross_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.0.cross_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.0.cross_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.0.mlp.mlp.0.weight                                               torch.Size([8192, 1536])        torch.float32   True
blocks.0.mlp.mlp.0.bias                                                 torch.Size([8192])              torch.float32   True
blocks.0.mlp.mlp.2.weight                                               torch.Size([1536, 8192])        torch.float32   True
blocks.0.mlp.mlp.2.bias                                                 torch.Size([1536])              torch.float32   True
blocks.1.modulation                                                     torch.Size([9216])              torch.float32   True
blocks.1.norm2.weight                                                   torch.Size([1536])              torch.float32   True
blocks.1.norm2.bias                                                     torch.Size([1536])              torch.float32   True
blocks.1.self_attn.to_qkv.weight                                        torch.Size([4608, 1536])        torch.float32   True
blocks.1.self_attn.to_qkv.bias                                          torch.Size([4608])              torch.float32   True
blocks.1.self_attn.q_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.1.self_attn.k_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.1.self_attn.to_out.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.1.self_attn.to_out.bias                                          torch.Size([1536])              torch.float32   True
blocks.1.cross_attn.to_q.weight                                         torch.Size([1536, 1536])        torch.float32   True
blocks.1.cross_attn.to_q.bias                                           torch.Size([1536])              torch.float32   True
blocks.1.cross_attn.to_kv.weight                                        torch.Size([3072, 1024])        torch.float32   True
blocks.1.cross_attn.to_kv.bias                                          torch.Size([3072])              torch.float32   True
blocks.1.cross_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.1.cross_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.1.cross_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.1.cross_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.1.mlp.mlp.0.weight                                               torch.Size([8192, 1536])        torch.float32   True
blocks.1.mlp.mlp.0.bias                                                 torch.Size([8192])              torch.float32   True
blocks.1.mlp.mlp.2.weight                                               torch.Size([1536, 8192])        torch.float32   True
blocks.1.mlp.mlp.2.bias                                                 torch.Size([1536])              torch.float32   True
blocks.2.modulation                                                     torch.Size([9216])              torch.float32   True
blocks.2.norm2.weight                                                   torch.Size([1536])              torch.float32   True
blocks.2.norm2.bias                                                     torch.Size([1536])              torch.float32   True
blocks.2.self_attn.to_qkv.weight                                        torch.Size([4608, 1536])        torch.float32   True
blocks.2.self_attn.to_qkv.bias                                          torch.Size([4608])              torch.float32   True
blocks.2.self_attn.q_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.2.self_attn.k_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.2.self_attn.to_out.weight                                        torch.Size([1536, 1536])        torch.float32   True
blocks.2.self_attn.to_out.bias                                          torch.Size([1536])              torch.float32   True
blocks.2.cross_attn.to_q.weight                                         torch.Size([1536, 1536])        torch.float32   True
blocks.2.cross_attn.to_q.bias                                           torch.Size([1536])              torch.float32   True
blocks.2.cross_attn.to_kv.weight                                        torch.Size([3072, 1024])        torch.float32   True
blocks.2.cross_attn.to_kv.bias                                          torch.Size([3072])              torch.float32   True
blocks.2.cross_attn.q_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.2.cross_attn.k_rms_norm.gamma                                    torch.Size([12, 128])           torch.float32   True
blocks.2.cross_attn.to_out.weight                                       torch.Size([1536, 1536])        torch.float32   True
blocks.2.cross_attn.to_out.bias                                         torch.Size([1536])              torch.float32   True
blocks.2.mlp.mlp.0.weight                                               torch.Size([8192, 1536])        torch.float32   True
blocks.2.mlp.mlp.0.bias                                                 torch.Size([8192])              torch.float32   True
blocks.2.mlp.mlp.2.weight                                               torch.Size([1536, 8192])        torch.float32   True
blocks.2.mlp.mlp.2.bias                                                 torch.Size([1536])              torch.float32   True
blocks.3.modulation                                                     torch.Size([9216])              torch.float32   True
blocks.3.norm2.weight                                                   torch.Size([1536])              torch.float32   True
blocks.3.norm2.bias                                                     torch.Size([1536])              torch.float32   True
blocks.3.self_attn.to_qkv.weight                                        torch.Size([4608, 1536])        torch.float32   True
blocks.3.self_attn.to_qkv.bias                                          torch.Size([4608])              torch.float32   True
blocks.3.self_attn.q_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.3.self_attn.k_rms_norm.gamma                                     torch.Size([12, 128])           torch.float32   True
blocks.3.self_attn.to_out.weight                                        torch.Size([1536, 1536])        torch.float32   True
